Site,Plot,Area Sampled (m2),Species,BD_cm,Stem Bio (g dry wt),Branch Bio (g dry wt),New Growth Bio (g dry wt),Tot Bio CALC ALLOM (g dry wt),Tot Bio SUM COMP (g dry wt),Stem Bio (g C m-2),Branch Bio (g C m-2),New Growth Bio (g C m-2),Tot Bio CALC ALLOM (g C m-2),Tot Bio SUM COMP (g C m-2)
HBR,1,20,Betula,0.19,0.35,0.01,0.08,0.20,0.43,0.01,0.00,0.00,0.00,0.01
HBR,1,20,Betula,0.55,4.26,0.51,1.06,4.76,5.82,0.10,0.01,0.02,0.11,0.14
HBR,1,20,Betula,0.58,4.83,0.63,1.20,5.57,6.66,0.11,0.01,0.03,0.13,0.16
HBR,1,20,Betula,0.14,0.17,0.00,0.04,0.08,0.21,0.00,0.00,0.00,0.00,0.00
HBR,1,20,Betula,0.11,0.10,0.00,0.02,0.04,0.12,0.00,0.00,0.00,0.00,0.00
HBR,1,20,Betula,0.08,0.05,0.00,0.01,0.02,0.05,0.00,0.00,0.00,0.00,0.00
HBR,1,20,Betula,0.34,1.37,0.07,0.33,1.14,1.77,0.03,0.00,0.01,0.03,0.04
HBR,1,20,Betula,0.62,5.65,0.82,1.42,6.79,7.89,0.13,0.02,0.03,0.16,0.19
HBR,1,20,Betula,0.25,0.66,0.02,0.15,0.46,0.84,0.02,0.00,0.00,0.01,0.02
HBR,1,20,Betula,0.19,0.35,0.01,0.08,0.20,0.43,0.01,0.00,0.00,0.00,0.01
HBR,1,20,Betula,0.29,0.94,0.04,0.22,0.71,1.20,0.02,0.00,0.01,0.02,0.03
HBR,1,20,Betula,0.2,0.39,0.01,0.09,0.24,0.49,0.01,0.00,0.00,0.01,0.01
HBR,1,20,Betula,0.09,0.06,0.00,0.01,0.02,0.07,0.00,0.00,0.00,0.00,0.00
HBR,1,20,Betula,0.12,0.12,0.00,0.03,0.05,0.14,0.00,0.00,0.00,0.00,0.00
HBR,1,20,Betula,0.61,5.44,0.77,1.36,6.47,7.57,0.13,0.02,0.03,0.15,0.18
HBR,1,20,Betula,1.25,29.58,14.18,7.89,54.52,51.65,0.70,0.33,0.19,1.28,1.21
HBR,1,20,Betula,0.38,1.78,0.11,0.43,1.59,2.32,0.04,0.00,0.01,0.04,0.05
HBR,1,20,Betula,0.38,1.78,0.11,0.43,1.59,2.32,0.04,0.00,0.01,0.04,0.05
HBR,1,20,Betula,0.11,0.10,0.00,0.02,0.04,0.12,0.00,0.00,0.00,0.00,0.00
HBR,1,20,Betula,0.03,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
HBR,1,20,Betula,0.11,0.10,0.00,0.02,0.04,0.12,0.00,0.00,0.00,0.00,0.00
HBR,1,20,Betula,0.15,0.20,0.00,0.04,0.10,0.24,0.00,0.00,0.00,0.00,0.01
HBR,1,20,Betula,0.15,0.20,0.00,0.04,0.10,0.24,0.00,0.00,0.00,0.00,0.01
HBR,1,20,Betula,0.3,1.02,0.04,0.24,0.79,1.30,0.02,0.00,0.01,0.02,0.03
HBR,1,20,Betula,1.15,24.30,10.11,6.44,42.56,40.84,0.57,0.24,0.15,1.00,0.96
HBR,1,20,Betula,0.2,0.39,0.01,0.09,0.24,0.49,0.01,0.00,0.00,0.01,0.01
HBR,1,20,Betula,0.28,0.87,0.03,0.20,0.64,1.10,0.02,0.00,0.00,0.02,0.03
HBR,1,20,Betula,0.86,12.24,3.11,3.16,17.95,18.50,0.29,0.07,0.07,0.42,0.43
HBR,1,20,Betula,0.52,3.73,0.40,0.92,4.03,5.06,0.09,0.01,0.02,0.09,0.12
HBR,1,20,Betula,0.84,11.58,2.82,2.98,16.74,17.38,0.27,0.07,0.07,0.39,0.41
HBR,1,20,Betula,0.85,11.90,2.96,3.07,17.34,17.94,0.28,0.07,0.07,0.41,0.42
HBR,1,20,Betula,1.01,17.89,5.97,4.68,28.94,28.53,0.42,0.14,0.11,0.68,0.67
HBR,1,20,Betula,0.28,0.87,0.03,0.20,0.64,1.10,0.02,0.00,0.00,0.02,0.03
HBR,1,20,Betula,0.19,0.35,0.01,0.08,0.20,0.43,0.01,0.00,0.00,0.00,0.01
HBR,1,20,Betula,0.38,1.78,0.11,0.43,1.59,2.32,0.04,0.00,0.01,0.04,0.05
HBR,1,20,Betula,0.2,0.39,0.01,0.09,0.24,0.49,0.01,0.00,0.00,0.01,0.01
HBR,1,20,Betula,0.46,2.80,0.24,0.68,2.80,3.72,0.07,0.01,0.02,0.07,0.09
HBR,1,20,Betula,0.33,1.28,0.06,0.30,1.04,1.64,0.03,0.00,0.01,0.02,0.04
HBR,1,20,Betula,0.35,1.47,0.08,0.35,1.24,1.90,0.03,0.00,0.01,0.03,0.04
HBR,1,20,Betula,0.64,6.09,0.94,1.53,7.47,8.56,0.14,0.02,0.04,0.18,0.20
HBR,1,20,Betula,0.79,10.02,2.20,2.57,13.95,14.78,0.24,0.05,0.06,0.33,0.35
HBR,1,20,Betula,0.15,0.20,0.00,0.04,0.10,0.24,0.00,0.00,0.00,0.00,0.01
HBR,1,20,Betula,0.2,0.39,0.01,0.09,0.24,0.49,0.01,0.00,0.00,0.01,0.01
